epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,731.344,1.84938,1.94814,1.82637,0.6412,0.43041,0.42878,0.20196,1.8724,1.62698,1.96535,0.000220768,0.000220768,0.000220768
2,1458.57,1.77892,1.41686,1.74381,0.54964,0.45092,0.4685,0.22242,1.90493,1.44215,1.9592,0.000413856,0.000413856,0.000413856
3,2198.38,1.77331,1.34846,1.74311,0.67011,0.47295,0.50718,0.23374,1.89358,1.37603,1.95968,0.000577597,0.000577597,0.000577597
4,2949.4,1.72875,1.2859,1.69926,0.658,0.47864,0.48747,0.23683,1.841,1.28514,1.90515,0.000534934,0.000534934,0.000534934
5,3715.37,1.67836,1.19849,1.66355,0.64945,0.52255,0.53113,0.24634,1.83397,1.20646,1.92407,0.000490912,0.000490912,0.000490912
6,4466.24,1.67878,1.10769,1.75284,0.60535,0.51797,0.52578,0.25368,1.79296,1.16932,1.87437,0.00044689,0.00044689,0.00044689
7,5201.94,1.60149,1.02988,1.70061,0.84213,0.47164,0.54154,0.25617,1.78998,1.11692,1.85948,0.000402868,0.000402868,0.000402868
8,5937.69,1.58032,0.98053,1.67347,0.70243,0.5224,0.53685,0.26284,1.80236,1.11171,1.86278,0.000358846,0.000358846,0.000358846
9,6652.15,1.54529,0.93113,1.64271,0.65901,0.51877,0.53577,0.26477,1.76754,1.07303,1.85728,0.000314824,0.000314824,0.000314824
10,7366.86,1.50302,0.89452,1.63365,0.60647,0.54999,0.55747,0.26941,1.77331,1.07361,1.83377,0.000270802,0.000270802,0.000270802
11,8083.63,1.46452,0.8465,1.60183,0.53613,0.53914,0.56152,0.27997,1.73746,1.0289,1.82469,0.00022678,0.00022678,0.00022678
12,8791.29,1.44091,0.81608,1.56688,0.76778,0.53425,0.56545,0.28077,1.7314,1.03035,1.82207,0.000182758,0.000182758,0.000182758
13,9495.71,1.40202,0.78007,1.53687,0.55091,0.54344,0.56503,0.28167,1.73777,1.00173,1.8419,0.000138736,0.000138736,0.000138736
14,10198.1,1.37249,0.75897,1.51894,0.67613,0.52983,0.56288,0.27993,1.73543,1.00073,1.82514,9.4714e-05,9.4714e-05,9.4714e-05
15,10900.1,1.34509,0.73864,1.50713,0.53765,0.56492,0.56099,0.28228,1.72646,0.98684,1.82592,5.0692e-05,5.0692e-05,5.0692e-05
